2023-12-04 19:05:03,043 - DEBUG - STREAM b'IHDR' 16 13
2023-12-04 19:05:03,043 - DEBUG - STREAM b'gAMA' 41 4
2023-12-04 19:05:03,043 - DEBUG - STREAM b'cHRM' 57 32
2023-12-04 19:05:03,044 - DEBUG - STREAM b'bKGD' 101 6
2023-12-04 19:05:03,044 - DEBUG - b'bKGD' 101 6 (unknown)
2023-12-04 19:05:03,044 - DEBUG - STREAM b'pHYs' 119 9
2023-12-04 19:05:03,044 - DEBUG - STREAM b'tIME' 140 7
2023-12-04 19:05:03,044 - DEBUG - b'tIME' 140 7 (unknown)
2023-12-04 19:05:03,044 - DEBUG - STREAM b'IDAT' 159 32768
2023-12-04 19:05:03,044 - DEBUG - STREAM b'IHDR' 16 13
2023-12-04 19:05:03,044 - DEBUG - STREAM b'cHRM' 41 32
2023-12-04 19:05:03,044 - DEBUG - STREAM b'bKGD' 85 6
2023-12-04 19:05:03,044 - DEBUG - b'bKGD' 85 6 (unknown)
2023-12-04 19:05:03,045 - DEBUG - STREAM b'orNT' 103 1
2023-12-04 19:05:03,045 - DEBUG - b'orNT' 103 1 (unknown)
2023-12-04 19:05:03,045 - DEBUG - STREAM b'IDAT' 116 32768
2023-12-04 19:05:03,045 - DEBUG - STREAM b'IHDR' 16 13
2023-12-04 19:05:03,045 - DEBUG - STREAM b'cHRM' 41 32
2023-12-04 19:05:03,045 - DEBUG - STREAM b'bKGD' 85 6
2023-12-04 19:05:03,045 - DEBUG - b'bKGD' 85 6 (unknown)
2023-12-04 19:05:03,045 - DEBUG - STREAM b'orNT' 103 1
2023-12-04 19:05:03,045 - DEBUG - b'orNT' 103 1 (unknown)
2023-12-04 19:05:03,045 - DEBUG - STREAM b'IDAT' 116 32768
2023-12-04 19:05:03,046 - DEBUG - STREAM b'IHDR' 16 13
2023-12-04 19:05:03,046 - DEBUG - STREAM b'cHRM' 41 32
2023-12-04 19:05:03,046 - DEBUG - STREAM b'bKGD' 85 6
2023-12-04 19:05:03,046 - DEBUG - b'bKGD' 85 6 (unknown)
2023-12-04 19:05:03,046 - DEBUG - STREAM b'orNT' 103 1
2023-12-04 19:05:03,046 - DEBUG - b'orNT' 103 1 (unknown)
2023-12-04 19:05:03,046 - DEBUG - STREAM b'IDAT' 116 32768
2023-12-04 19:05:03,079 - DEBUG - STREAM b'tEXt' 1090534 37
2023-12-04 19:05:03,079 - DEBUG - STREAM b'tEXt' 1090583 37
2023-12-04 19:05:03,079 - DEBUG - STREAM b'tEXt' 1090632 40
2023-12-04 19:05:03,200 - DEBUG - STREAM b'tEXt' 8745541 37
2023-12-04 19:05:03,200 - DEBUG - STREAM b'tEXt' 8745590 37
2023-12-04 19:05:03,200 - DEBUG - STREAM b'tEXt' 8745639 40
2023-12-04 19:05:03,331 - DEBUG - STREAM b'tEXt' 8301345 37
2023-12-04 19:05:03,331 - DEBUG - STREAM b'tEXt' 8301394 37
2023-12-04 19:05:03,331 - DEBUG - STREAM b'tEXt' 8301443 40
2023-12-04 19:05:03,362 - DEBUG - STREAM b'IHDR' 16 13
2023-12-04 19:05:03,363 - DEBUG - STREAM b'cHRM' 41 32
2023-12-04 19:05:03,363 - DEBUG - STREAM b'bKGD' 85 6
2023-12-04 19:05:03,363 - DEBUG - b'bKGD' 85 6 (unknown)
2023-12-04 19:05:03,363 - DEBUG - STREAM b'orNT' 103 1
2023-12-04 19:05:03,363 - DEBUG - b'orNT' 103 1 (unknown)
2023-12-04 19:05:03,363 - DEBUG - STREAM b'IDAT' 116 32768
2023-12-04 19:05:03,363 - DEBUG - STREAM b'IHDR' 16 13
2023-12-04 19:05:03,363 - DEBUG - STREAM b'cHRM' 41 32
2023-12-04 19:05:03,363 - DEBUG - STREAM b'bKGD' 85 6
2023-12-04 19:05:03,363 - DEBUG - b'bKGD' 85 6 (unknown)
2023-12-04 19:05:03,363 - DEBUG - STREAM b'orNT' 103 1
2023-12-04 19:05:03,363 - DEBUG - b'orNT' 103 1 (unknown)
2023-12-04 19:05:03,363 - DEBUG - STREAM b'IDAT' 116 32768
2023-12-04 19:05:03,487 - DEBUG - STREAM b'tEXt' 7370302 37
2023-12-04 19:05:03,487 - DEBUG - STREAM b'tEXt' 7370351 37
2023-12-04 19:05:03,487 - DEBUG - STREAM b'tEXt' 7370400 40
2023-12-04 19:05:03,620 - DEBUG - STREAM b'tEXt' 6884425 37
2023-12-04 19:05:03,620 - DEBUG - STREAM b'tEXt' 6884474 37
2023-12-04 19:05:03,620 - DEBUG - STREAM b'tEXt' 6884523 40
2023-12-04 19:05:03,675 - DEBUG - STREAM b'tEXt' 486697 37
2023-12-04 19:05:03,675 - DEBUG - STREAM b'tEXt' 486746 37
2023-12-04 19:05:03,691 - INFO - leon se movió a la posición [6, 8]
2023-12-04 19:05:03,691 - INFO - leon2 se movió a la posición [6, 5]
2023-12-04 19:05:03,691 - INFO - leon3 se movió a la posición [5, 4]
2023-12-04 19:05:03,691 - INFO - leon4 se movió a la posición [6, 5]
2023-12-04 19:05:03,691 - INFO - leon5 se movió a la posición [6, 8]
2023-12-04 19:05:03,691 - INFO - leon6 se movió a la posición [6, 4]
2023-12-04 19:05:03,692 - INFO - leon7 se movió a la posición [5, 4]
2023-12-04 19:05:03,692 - INFO - leon8 se movió a la posición [5, 24]
2023-12-04 19:05:03,692 - INFO - leon9 se movió a la posición [5, 0]
2023-12-04 19:05:03,998 - INFO - leon se movió a la posición [6, 9]
2023-12-04 19:05:03,998 - INFO - leon2 se movió a la posición [5, 5]
2023-12-04 19:05:03,998 - INFO - leon3 se movió a la posición [5, 3]
2023-12-04 19:05:03,999 - INFO - leon4 se movió a la posición [6, 6]
2023-12-04 19:05:03,999 - INFO - leon5 se movió a la posición [6, 9]
2023-12-04 19:05:04,000 - INFO - leon6 se movió a la posición [5, 4]
2023-12-04 19:05:04,000 - INFO - leon7 se movió a la posición [4, 4]
2023-12-04 19:05:04,001 - INFO - leon8 se movió a la posición [4, 24]
2023-12-04 19:05:04,001 - INFO - leon9 se movió a la posición [6, 0]
2023-12-04 19:05:04,311 - INFO - leon se movió a la posición [7, 9]
2023-12-04 19:05:04,312 - INFO - leon2 se movió a la posición [6, 5]
2023-12-04 19:05:04,312 - INFO - leon3 se movió a la posición [5, 4]
2023-12-04 19:05:04,312 - INFO - leon4 se movió a la posición [7, 6]
2023-12-04 19:05:04,312 - INFO - leon5 se movió a la posición [6, 8]
2023-12-04 19:05:04,313 - INFO - leon6 se movió a la posición [5, 3]
2023-12-04 19:05:04,313 - INFO - leon7 se movió a la posición [4, 5]
2023-12-04 19:05:04,313 - INFO - leon8 se movió a la posición [3, 24]
2023-12-04 19:05:04,314 - INFO - leon9 se movió a la posición [7, 0]
2023-12-04 19:05:04,622 - INFO - leon se movió a la posición [6, 9]
2023-12-04 19:05:04,623 - INFO - leon2 se movió a la posición [5, 5]
2023-12-04 19:05:04,623 - INFO - leon3 se movió a la posición [5, 3]
2023-12-04 19:05:04,623 - INFO - leon4 se movió a la posición [6, 6]
2023-12-04 19:05:04,623 - INFO - leon5 se movió a la posición [6, 9]
2023-12-04 19:05:04,624 - INFO - leon6 se movió a la posición [5, 4]
2023-12-04 19:05:04,624 - INFO - leon7 se movió a la posición [4, 6]
2023-12-04 19:05:04,624 - INFO - leon8 se movió a la posición [3, 25]
2023-12-04 19:05:04,625 - INFO - leon9 se movió a la posición [8, 0]
2023-12-04 19:05:04,927 - INFO - leon se movió a la posición [6, 10]
2023-12-04 19:05:04,927 - INFO - leon2 se movió a la posición [5, 6]
2023-12-04 19:05:04,927 - INFO - leon3 se movió a la posición [5, 4]
2023-12-04 19:05:04,928 - INFO - leon4 se movió a la posición [7, 6]
2023-12-04 19:05:04,928 - INFO - leon5 se movió a la posición [7, 9]
2023-12-04 19:05:04,928 - INFO - leon6 se movió a la posición [6, 4]
2023-12-04 19:05:04,928 - INFO - leon7 se movió a la posición [3, 6]
2023-12-04 19:05:04,928 - INFO - leon8 se movió a la posición [4, 25]
2023-12-04 19:05:04,928 - INFO - leon9 se movió a la posición [8, 1]
2023-12-04 19:05:05,228 - INFO - leon se movió a la posición [6, 9]
2023-12-04 19:05:05,229 - INFO - leon2 se movió a la posición [5, 7]
2023-12-04 19:05:05,229 - INFO - leon3 se movió a la posición [4, 4]
2023-12-04 19:05:05,229 - INFO - leon4 se movió a la posición [7, 7]
2023-12-04 19:05:05,229 - INFO - leon5 se movió a la posición [6, 9]
2023-12-04 19:05:05,229 - INFO - leon6 se movió a la posición [5, 4]
2023-12-04 19:05:05,229 - INFO - leon7 se movió a la posición [2, 6]
2023-12-04 19:05:05,229 - INFO - leon8 se movió a la posición [4, 26]
2023-12-04 19:05:05,229 - INFO - leon9 se movió a la posición [7, 1]
2023-12-04 19:05:05,536 - INFO - leon se movió a la posición [5, 9]
2023-12-04 19:05:05,536 - INFO - leon2 se movió a la posición [6, 7]
2023-12-04 19:05:05,536 - INFO - leon3 se movió a la posición [5, 4]
2023-12-04 19:05:05,536 - INFO - leon4 se movió a la posición [7, 6]
2023-12-04 19:05:05,536 - INFO - leon5 se movió a la posición [7, 9]
2023-12-04 19:05:05,536 - INFO - leon6 se movió a la posición [5, 3]
2023-12-04 19:05:05,536 - INFO - leon7 se movió a la posición [1, 6]
2023-12-04 19:05:05,537 - INFO - leon8 se movió a la posición [4, 26]
